title,release_year,rating,duration
Dear White People,2021,TV-MA,4 Seasons
He-Man and the Masters of the Universe,2021,TV-Y7,1 Season
Nailed It,2021,TV-PG,6 Seasons
Saved by the Bell,1994,TV-PG,9 Seasons
Lucifer,2021,TV-14,6 Seasons
The Circle,2021,TV-MA,3 Seasons
Kid Cosmic,2021,TV-Y7,2 Seasons
On the Verge,2021,TV-MA,1 Season
Bunk'd,2021,TV-G,5 Seasons
Sharkdog,2021,TV-Y,1 Season
Q-Force,2021,TV-MA,1 Season
Major Dad,1992,TV-PG,4 Seasons
Sparking Joy,2021,TV-PG,1 Season
Family Reunion,2021,TV-PG,4 Seasons
Wheel of Fortune,2019,TV-G,3 Seasons
Manifest,2021,TV-14,3 Seasons
Go! Go! Cory Carson,2021,TV-Y,5 Seasons
Mother Goose Club,2016,TV-Y,2 Seasons
Brand New Cherry Flavor,2021,TV-MA,1 Season
Fast & Furious Spy Racers,2021,TV-Y7,5 Seasons
Grace and Frankie,2021,TV-MA,7 Seasons
Bake Squad,2021,TV-PG,1 Season
Gabby's Dollhouse,2021,TV-Y,2 Seasons
Hit & Run,2021,TV-MA,1 Season
Cocaine Cowboys: The Kings of Miami,2021,TV-MA,1 Season
Cooking With Paris,2021,TV-MA,1 Season
30 Rock,2012,TV-14,7 Seasons
Charmed,2021,TV-14,3 Seasons
Outer Banks,2021,TV-MA,2 Seasons
The Flash,2021,TV-14,7 Seasons
All American,2021,TV-14,3 Seasons
Mighty Express,2021,TV-Y,4 Seasons
The Walking Dead,2019,TV-MA,10 Seasons
Wynonna Earp,2020,TV-MA,4 Seasons
The Movies That Made Us,2021,TV-MA,2 Seasons
Chicago Med,2019,TV-14,5 Seasons
Explained,2021,TV-MA,3 Seasons
Johnny Test,2021,TV-Y7,1 Season
Never Have I Ever,2021,TV-14,2 Seasons
Ridley Jones,2021,TV-Y,1 Season
Atypical,2021,TV-14,4 Seasons
Virgin River,2021,TV-14,3 Seasons
RESIDENT EVIL: Infinite Darkness,2021,TV-MA,1 Season
Dogs,2021,TV-PG,2 Seasons
Ask the StoryBots,2019,TV-Y,3 Seasons
Chelsea,2017,TV-MA,2 Seasons
Colony,2018,TV-14,3 Seasons
I Think You Should Leave with Tim Robinson,2021,TV-MA,2 Seasons
My Little Pony: Friendship Is Magic,2018,TV-Y,8 Seasons
Orange Is the New Black,2019,TV-MA,7 Seasons
Puffin Rock,2016,TV-Y,2 Seasons
Richie Rich,2015,TV-G,2 Seasons
Scream,2019,TV-MA,3 Seasons
We the People,2021,TV-Y7,1 Season
Grey's Anatomy,2020,TV-14,17 Seasons
Rainbow Rangers,2018,TV-Y,1 Season
Droppin' Cash: Los Angeles,2019,TV-MA,1 Season
StarBeam,2021,TV-Y,4 Seasons
Sex/Life,2021,TV-MA,1 Season
Too Hot to Handle,2021,TV-MA,2 Seasons
The Mole,2001,TV-14,2 Seasons
Black Lightning,2021,TV-14,4 Seasons
Champions,2018,TV-14,1 Season
Glee,2015,TV-14,6 Seasons
Hap and Leonard,2018,TV-MA,3 Seasons
Pose,2019,TV-MA,2 Seasons
Riverdale,2019,TV-14,4 Seasons
Schitt's Creek,2020,TV-MA,6 Seasons
The Assassination of Gianni Versace,2018,TV-MA,1 Season
The Last Dance,2020,TV-MA,1 Season
Black Summer,2021,TV-MA,2 Seasons
Avengers Climate Conundrum,2020,TV-Y7,1 Season
Power Rangers Dino Fury,2021,TV-G,1 Season
The American Bible Challenge,2014,TV-G,1 Season
Metallica: Some Kind of Monster,2014,TV-MA,1 Season
Lupin,2021,TV-MA,2 Seasons
"Fresh, Fried & Crispy",2021,TV-PG,1 Season
L.A.’s Finest,2021,TV-MA,2 Seasons
Sweet Tooth,2021,TV-14,1 Season
Cocomelon,2021,TV-Y,3 Seasons
Happy Endings,2012,TV-14,3 Seasons
The Adventures of Sonic the Hedgehog,1993,TV-Y7,1 Season
Dirty John,2020,TV-MA,2 Seasons
The Kominsky Method,2021,TV-MA,3 Seasons
Master of None,2021,TV-MA,3 Seasons
Jurassic World Camp Cretaceous,2021,TV-Y7,3 Seasons
Special,2021,TV-MA,2 Seasons
The Magic School Bus,1997,TV-Y,1 Season
Halston,2021,TV-MA,1 Season
Haunted,2021,TV-MA,3 Seasons
"Love, Death & Robots",2021,TV-MA,2 Seasons
Castlevania,2021,TV-MA,4 Seasons
The Upshaws,2021,TV-14,1 Season
"Money, Explained",2021,TV-14,1 Season
Jupiter's Legacy,2021,TV-MA,1 Season
The Sons of Sam: A Descent into Darkness,2021,TV-MA,1 Season
Selena: The Series,2020,TV-PG,2 Seasons
StartUp,2018,TV-MA,3 Seasons
Shadow and Bone,2021,TV-14,1 Season
Garth Brooks: The Road I’m On,2019,TV-PG,1 Season
Gilmore Girls,2006,TV-14,7 Seasons
Next in Fashion,2020,TV-14,1 Season
Power Players,2020,TV-Y,3 Seasons
Dad Stop Embarrassing Me!,2021,TV-14,1 Season
House of Cards,2018,TV-MA,6 Seasons
Indian Matchmaking,2020,TV-14,1 Season
Jeffrey Epstein: Filthy Rich,2020,TV-MA,1 Season
Living with Yourself,2019,TV-MA,1 Season
Unnatural Selection,2019,TV-MA,1 Season
My Love: Six Stories of True Love,2021,TV-PG,1 Season
The Baker and the Beauty,2020,TV-PG,1 Season
"Nicky, Ricky, Dicky & Dawn",2018,TV-G,4 Seasons
Prank Encounters,2021,TV-MA,2 Seasons
Worn Stories,2021,TV-MA,1 Season
Haunted: Latin America,2021,TV-14,1 Season
Rainbow High,2020,TV-Y,1 Season
Big Time Rush,2013,TV-G,4 Seasons
DOTA: Dragon's Blood,2021,TV-MA,1 Season
Mighty Morphin Power Rangers,2010,TV-Y7,4 Seasons
Country Comfort,2021,TV-PG,1 Season
Waffles + Mochi,2021,TV-Y,1 Season
The Lost Pirate Kingdom,2021,TV-MA,1 Season
Paradise PD,2021,TV-MA,3 Seasons
City of Ghosts,2021,TV-Y7,1 Season
Pacific Rim: The Black,2021,TV-14,1 Season
Murder Among the Mormons,2021,TV-14,1 Season
Word Party,2021,TV-Y,5 Seasons
El final del paraíso,2019,TV-MA,1 Season
Sin senos sí hay paraíso,2018,TV-MA,3 Seasons
Age of Samurai: Battle for Japan,2021,TV-MA,1 Season
Canine Intervention,2021,TV-PG,1 Season
Ginny & Georgia,2021,TV-14,1 Season
Two Sentence Horror Stories,2021,TV-14,2 Seasons
Amend: The Fight for America,2021,TV-MA,1 Season
MeatEater,2021,TV-14,4 Seasons
Good Girls,2020,TV-MA,3 Seasons
The Crew,2021,TV-14,1 Season
Buried by the Bernards,2021,TV-14,1 Season
Chappelle's Show,2005,TV-MA,2 Seasons
Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,1 Season
Five Came Back: The Reference Films,1945,TV-MA,1 Season
ICarly,2008,TV-G,2 Seasons
The Sinner,2020,TV-MA,3 Seasons
Firefly Lane,2021,TV-MA,1 Season
Power Rangers Ninja Steel,2018,TV-Y7,2 Seasons
Tiffany Haddish Presents: They Ready,2021,TV-MA,2 Seasons
Love Daily,2018,TV-14,1 Season
My Dead Ex,2018,TV-14,1 Season
The Unsettling,2019,TV-14,1 Season
Total Drama,2015,TV-PG,7 Seasons
Zac and Mia,2019,TV-14,2 Seasons
We Are: The Brooklyn Saints,2021,TV-14,1 Season
BONDING,2021,TV-MA,2 Seasons
Outlander,2018,TV-MA,4 Seasons
Go Dog Go,2021,TV-Y,1 Season
Spycraft,2021,TV-MA,1 Season
Hello Ninja,2021,TV-Y,4 Seasons
Bling Empire,2021,TV-MA,1 Season
Carmen Sandiego,2021,TV-Y7,4 Seasons
Disenchantment,2021,TV-14,3 Seasons
Henry Danger,2016,TV-G,3 Seasons
The Magicians,2020,TV-MA,5 Seasons
Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,1 Season
Pretend It’s a City,2021,TV-14,1 Season
Surviving Death,2021,TV-MA,1 Season
History of Swear Words,2021,TV-MA,1 Season
Nailed It! Mexico,2021,TV-PG,3 Seasons
QB1: Beyond the Lights,2019,TV-14,1 Season
Cobra Kai,2021,TV-14,3 Seasons
Dream Home Makeover,2021,TV-G,2 Seasons
Headspace Guide to Meditation,2021,TV-G,1 Season
Jenni Rivera: Mariposa de Barrio,2017,TV-MA,1 Season
The Cat in the Hat Knows a Lot About That!,2014,TV-Y,1 Season
The Haunted Hathaways,2013,TV-G,2 Seasons
Chilling Adventures of Sabrina,2020,TV-14,4 Seasons
Best Leftovers Ever!,2020,TV-G,1 Season
Dare Me,2019,TV-MA,1 Season
Equinox,2020,TV-MA,1 Season
Bridgerton,2020,TV-MA,1 Season
Rhyme Time Town Singalongs,2020,TV-Y,1 Season
Shaun the Sheep,2016,TV-Y,2 Seasons
Schulz Saves America,2020,TV-MA,1 Season
Marvel Anime: Wolverine,2011,TV-14,1 Season
Black Ink Crew New York,2014,TV-14,2 Seasons
Pup Academy,2020,TV-Y,2 Seasons
